author_id,name,country,community,citation_count
https://openalex.org/A5015873569,Vassilis Kostakos,AU,29,0
https://openalex.org/A5036998377,Michele Coscia,DK,1,0
https://openalex.org/A5057981251,Stephen Kosack,US,1,0
https://openalex.org/A5078171883,Kim Albrecht,US,1,0
https://openalex.org/A5072263832,Johan Ugander,US,0,0
https://openalex.org/A5046030036,Elena Simperl,GB,21,0
https://openalex.org/A5041421536,Natasha Noy,US,34,0
https://openalex.org/A5089594511,Naotoshi Tsukada,JP,9,0
https://openalex.org/A5109078962,Jun Suzuki,JP,9,0
https://openalex.org/A5011588754,Nicholas LaBerge,US,0,0
https://openalex.org/A5048181040,K. Hunter Wapman,US,0,0
https://openalex.org/A5076633756,James A. Evans,US,16,0
https://openalex.org/A5060353395,Robert Laganière,CA,5,0
https://openalex.org/A5011256345,S. Redner,US,1,0
https://openalex.org/A5088553895,Lindsay Heger,US,0,0
https://openalex.org/A5101399912,Harmanpreet Kaur,IN,5,0
https://openalex.org/A5014724580,Shamsi T. Iqbal,US,5,0
https://openalex.org/A5032417423,Jaime Teevan,US,5,0
https://openalex.org/A5054940589,Benjamin Lafreniere,CA,5,0
https://openalex.org/A5112460175,Jochen Peter,NL,13,0
https://openalex.org/A5001989092,Neeraj Chatlani,US,22,0
https://openalex.org/A5078247174,Zainab Agha,US,22,0
https://openalex.org/A5037569091,Amy X. Zhang,CA,5,0
https://openalex.org/A5076364930,Farnaz Jahanbakhsh,US,5,0
https://openalex.org/A5031106143,Adrián Arnaiz-Rodríguez,ES,30,0
https://openalex.org/A5112581431,Esther Cubo,ES,30,0
https://openalex.org/A5020290167,Álvar Arnaiz‐González,ES,30,0
https://openalex.org/A5015719908,José-Francisco Díez-Pastor,ES,30,0
https://openalex.org/A5012721663,Meredith Spindler,US,30,0
https://openalex.org/A5111561257,Adriana Cardozo,AR,30,0
https://openalex.org/A5060270971,Álvaro García‐Bustillo,ES,30,0
https://openalex.org/A5035628923,Zoltán Mari,US,30,0
https://openalex.org/A5035064433,Bastiaan R. Bloem,NL,30,0
https://openalex.org/A5018260791,Mark S. Rosentraub,US,25,0
https://openalex.org/A5074213306,Jun Koo,KR,25,0
https://openalex.org/A5066259555,Hiroaki Niki,US,9,0
https://openalex.org/A5011708220,Patrick Minder,CH,5,0
https://openalex.org/A5045325634,Sven Seuken,CH,0,0
https://openalex.org/A5046561315,Fahad Alhasoun,US,8,0
https://openalex.org/A5033977409,Kael Greco,US,8,0
https://openalex.org/A5038699799,Riccardo Campari,US,8,0
https://openalex.org/A5103326255,Carlo Ratti,US,1,0
https://openalex.org/A5079565971,Christina Nathues,CH,34,0
https://openalex.org/A5084077919,Shawndra Hill,US,24,0
https://openalex.org/A5037283651,Foster Provost,US,17,0
https://openalex.org/A5039489344,Hyeong-Chai Jeong,KR,2,0
https://openalex.org/A5063507594,Insoon Yang,KR,1,0
https://openalex.org/A5015642017,B. Kahng,KR,1,0
https://openalex.org/A5044190205,Gerald Reif,CH,5,0
https://openalex.org/A5101810876,David J. Schwab,US,1,0
https://openalex.org/A5110702582,Sidney Redner,US,1,0
https://openalex.org/A5070003596,Mei Wang,CN,34,0
https://openalex.org/A5013343430,Marc Chesney,CH,34,0
https://openalex.org/A5087547837,Tobias Grubenmann,GB,34,0
